turma,turno,computador,motivacao,cursou,cursar,escolha1,escolha2
2C,Manhã,Sim,"No futuro eu quer entrar no ramo, e desde já tenho interesse em IA.",SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2C,Manhã,Não,"Ampliar meu conhecimento, e ter mais opções para escolher uma área para trabalhar futuramente.",NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Não,"Intresse em ter conhecimento sobre o assunto, sempre aprender mais sobre varias outras materias/linguagens etc...",NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Sim,Carreira profissional,NÃO,Sim,Terças das 20h00 as 21H00,
2C,Manhã,Sim,Para ingressar no mercado de trabalho,NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,O aprendizado e a composição no currículo,NÃO,Sim,Quartas das 19h as 20h,
3C,Manhã,Sim,"Interesse na área da IA, expansão de currículo e aumento de conhecimento em linguagens variadas.",NÃO,Sim,Terças das 20h00 as 21H00,
2F,Tarde,Sim,Quero enriquecer meu curriculo,NÃO,Sim,Quartas das 19h as 20h,
3C,Manhã,Sim,Sempre me interessei por desenvolvimento e aprimoramento de IAs,NÃO,Sim,Terças das 20h00 as 21H00,
1F,Tarde,Sim,Aprimorar meu conhecimento e evoluir nesse tema,NÃO,Sim,Terças das 20h00 as 21H00,
2C,Manhã,Sim,Me manter atualizado quanto ao mundo da tecnologia e adquirir conhecimento,SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2A,Manhã,Sim,Um novo conhecimento,NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Sim,"Pelo currículo, e por conhecimento extra.",NÃO,Sim,Quartas das 19h as 20h,
1C,Manhã,Sim,Hshdgdgd,NÃO,Sim,Quartas das 19h as 20h,
3C,Manhã,Sim,Me aprofundar mais na inteligencia artificial,SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2B,Manhã,Sim,Desejo seguir na area,NÃO,Sim,Quartas das 19h as 20h,
2B,Manhã,Sim,"Oportunidades de emprego, conhecimento extra, dar orgulho para a família e poder ensinar.",NÃO,Sim,Quartas das 19h as 20h,
3C,Manhã,Sim,"Pois está diretamente ligada ao futuro, e portanto com as profissões futuras",NÃO,Sim,Terças das 20h00 as 21H00,
2C,Manhã,Sim,Manter-me atualizado quanto ao mundo da tecnologia e adquirir conhecimento,SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
1F,Tarde,Sim,aprimorar meu conhecimento na área ,NÃO,Sim,Terças das 20h00 as 21H00,
2A,Manhã,Sim,"Sempre me interessei pela área de Inteligência Artifical, além de ser uma área super legal  também está ficando em alta no mercado de trabalho.Também adoro aprender coisas novas.",NÃO,Sim,Terças das 20h00 as 21H00,
1A,Manhã,Sim,Apronfundar meus estudos!,NÃO,Sim,Quartas das 19h as 20h,
2C,Manhã,Sim,Ganhar experiência e conhecimento para ser um profissional qualificado.,SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2I,Tarde,Sim,Eu acredito que isso vai enriquecer o meu curriculo além de ser uma área que eu tenho interesse de conhecer melhor.,NÃO,Sim,Terças das 20h00 as 21H00,
2A,Manhã,Sim,acho interessante ,NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Não,Adquirir conhecimento,NÃO,Sim,Quartas das 19h as 20h,
2C,Manhã,Sim,Aprender mais sobre programação ,NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,Me interessei pela proposta oferecida pelo curso,NÃO,Sim,Quartas das 19h as 20h,
2A,Manhã,Sim,"Futuramente, quero atuar na área de tecnologia",NÃO,Sim,Quartas das 19h as 20h,
1F,Tarde,Sim,Ajudará no mercado de trabalho ,NÃO,Sim,Terças das 20h00 as 21H00,
3F,Tarde,Sim,O mercado que está aberto nessa área é muito grande.,NÃO,Sim,Terças das 20h00 as 21H00,
1B,Manhã,Sim,Gosto de tecnologia,NÃO,Sim,Terças das 20h00 as 21H00,
1F,Tarde,Sim,Eu tenho interesse em aprender Python e gostaria de saber mais sobre inteligência artificial,NÃO,Sim,Terças das 20h00 as 21H00,
3F,Tarde,Sim,Querer aprender mais sobre área e ter mais conhecimento ,SIM,,,Visão Computacional - Quintas das 19h as 20h (Obrigatório ter feito o curso de Introdução ao Python)
3C,Manhã,Sim,"Acredito que seja uma área da Informática extremamente promissora, que tende apenas a crescer e nos mostrar que Inteligência Artificial é sim o futuro da tecnologia.",NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Sim,Pois é um assunto que me desperta interesse e será de bom proveito para minha carreira no futuro.,NÃO,Sim,Quartas das 19h as 20h,
1F,Tarde,Sim,"Optei pelo curso técnico de informática, pela importância dela atualmente. Porem nesses 2 meses de curso, tenho gostado cada vez mais e já se tornou uma opção de futuro para mim. Então, desejo aproveitar a fase que estou para estudar o quanto e tudo o que eu puder. E como me interesso pelo tema do curso, vi como uma grande oportunidade.",NÃO,Sim,Terças das 20h00 as 21H00,
2I,Tarde,Sim,Adquirir mais conhecimento,NÃO,Sim,Terças das 20h00 as 21H00,
2A,Manhã,Sim,"Para aprender , evoluir , sempre gostei muito do assunto. Além de ser um assunto da atualidade.",NÃO,Sim,Quartas das 19h as 20h,
2F,Tarde,Sim,acho uma área muito interessante para estudar e pesquisar?,NÃO,Sim,Terças das 20h00 as 21H00,
2F,Tarde,Sim,"Tenho interesse em conhecer, para talvez seguir com especialização.",NÃO,Sim,Terças das 20h00 as 21H00,
3F,Tarde,Sim,"Quero fazer esse curso, por que  e uma preparação para o futuro , pois pretendo investir na área de TI,  e esse curso e uma ótima oportunidade e assim irei ingressar  no mercado de trabalho e só tem à acrescentar na minha carreira. Já me formei na Etec, ensino médio e técnico.  ",NÃO,Sim,Terças das 20h00 as 21H00,
2C,Manhã,Sim,Por achar algo bom para meu futuro profissional e curisodade,NÃO,Sim,Quartas das 19h as 20h,
3A,Manhã,Sim,Eu gostaria de aprender inteligência artificial porque está sendo muito requisitado no mercado de trabalho ,NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,Sempre Tive interesse nesta área e quero ampliar meus conhecimentos.,NÃO,Sim,Quartas das 19h as 20h,
1F,Tarde,Sim,Quero aumentar meu cocnhecimento nessa área,NÃO,Sim,Terças das 20h00 as 21H00,
1B,Manhã,Sim,a minha motivação é colher conhecimento para ter mais oportunidades no mercado de trabalho ,NÃO,Sim,Quartas das 19h as 20h,
1F,Tarde,Sim,"além de que eu me interesso muito, essa área tem uma boa oportunidade de crescimento profissional e tem um déficit de demanda ",NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Sim,Aprender coisas novas,NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Sim,Adquirir conhecimento na área.,NÃO,Sim,Quartas das 19h as 20h,
2F,Tarde,Sim,"Eu acho que Inteligência Artificial é uma coisa bem interessante para se aprender, é uma coisa que vai de meu interesse para o meu aprendizado.",NÃO,Sim,Terças das 20h00 as 21H00,
1A,Manhã,Sim,É um tema muito interessante e me deixou curiosa para saber mais.,NÃO,Sim,Quartas das 19h as 20h,
2F,Tarde,Sim,Tenho interesse em aprender Python para aumentar minha experiência com programação e incrementar meu currículo.,NÃO,Sim,Terças das 20h00 as 21H00,
1C,Manhã,Não,Para ter maior conhecimento sobre tecnologias e me preparar para o  mercado de trabalho.,NÃO,Sim,Quartas das 19h as 20h,
1A,Manhã,Sim,Quero admitir novos conhecimentos e aprender coisas novas ,NÃO,Sim,Quartas das 19h as 20h,
2C,Manhã,Sim,"Adquirir mais conhecimento dessa linguagem de programação, aprender novas oportunidades e uma maior dimensão do que pode ser obtido com a linguagem de Python. ",SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2C,Manhã,Sim,"É importante aprender coisas novas, ainda mais inteligência artificial que está precisando de profissionais",SIM,,,Machine Learning (Aprendizado de Máquina) - Quartas das 17h as 18h (Obrigatório ter feito o curso de Introdução ao Python)
2A,Manhã,Sim,"A minha motivação é muito grande para o curso de inteligência artificial, acredito que o conhecimento é tudo",NÃO,Sim,Quartas das 19h as 20h,
